case_id,tau_ps,sigma_s_per_m,measurement_mode,measurement_angle_deg,measurement_polarization,noise_dynamic_range_db,weighted_data_fit,data_fit,relative_l2,residual_rms,fit_sigma,max_abs_residual,max_abs_parameter_correlation,mean_abs_parameter_correlation,recovery_error,true_thickness_um,true_eps_inf,true_tau_ps,true_sigma_s_per_m,fit_thickness_um,fit_plasma_freq_thz,fit_gamma_thz,fit_tau_ps,fit_sigma_s_per_m,signed_err_sigma_s_per_m,abs_err_sigma_s_per_m,signed_err_tau_ps,abs_err_tau_ps,signed_err_thickness_um,abs_err_thickness_um,noise_sigma,noise_seed,clean_peak_abs,noise_rms,observed_snr_db,optimizer_stage,initial_objective_value,final_objective_value,objective_improvement_fraction,stuck_to_initial,initial_tau_ps,fit_minus_initial_tau_ps,stuck_to_initial_tau_ps,initial_sigma_s_per_m,fit_minus_initial_sigma_s_per_m,stuck_to_initial_sigma_s_per_m
0,0.1,100.0,reflection,60.0,p,110.0,7.783742426246844e-11,1.0364848938385891e-09,3.21944854569628e-05,8.652054451335657e-07,3.309874458141727e-05,3.3625444228538304e-06,0.9588755181617222,0.3739362054806972,4.24415149586379e-06,725.0,11.7,0.1,100.0,724.9997360664179,1.691393710013087,1.5915304981674971,0.10000118959400892,100.00070351214633,-0.000703512146330354,0.000703512146330354,-1.1895940089101664e-06,1.1895940089101664e-06,0.00026393358211862505,0.00026393358211862505,9.018577185153503e-07,1000.0,0.2851924515911515,8.64694358902047e-07,89.84951234359812,local,0.05216098709242004,7.783742426246844e-11,0.9999999985077463,False,0.316,-0.2159988104059911,False,316.22776601683796,-216.22706250469162,False
1,0.1375,100.0,reflection,60.0,p,110.0,8.40956440668378e-11,1.114109578897447e-09,3.3378280047022306e-05,8.87455125157069e-07,3.432663038012738e-05,2.598696700027237e-06,0.8982793470237372,0.46325282024947684,2.5996713977005066e-06,725.0,11.7,0.1375,100.0,725.00009367568,1.4424310870797845,1.1574989482137965,0.137498995863017,99.99957184140656,0.00042815859343647844,0.00042815859343647844,1.0041369830071645e-06,1.0041369830071645e-06,-9.367567997742299e-05,9.367567997742299e-05,8.920580364300914e-07,1001.0,0.2820935200176548,8.876268440867886e-07,89.5290253976617,local,0.05645723591612318,8.40956440668378e-11,0.9999999985104541,False,0.316,-0.178501004136983,False,316.22776601683796,-216.22819417543138,False
2,0.175,100.0,reflection,60.0,p,110.0,7.458764802332312e-11,1.0891549251868655e-09,3.3002347267836354e-05,8.717899663229931e-07,3.395201486671458e-05,2.6519224639032224e-06,0.7750526009756484,0.4770481444216388,6.653263517463502e-06,725.0,11.7,0.175,100.0,725.0002706962248,1.278586462572269,0.9094758790302974,0.17499633224092734,99.99945124244408,0.0005487575559186553,0.0005487575559186553,3.6677590726508225e-06,3.6677590726508225e-06,-0.0002706962247884803,0.0002706962247884803,8.854666893121391e-07,1002.0,0.2800091530435032,8.72878151146708e-07,89.61826806363425,local,0.06232068743613697,7.458764802332312e-11,0.9999999988031639,False,0.316,-0.14100366775907267,False,316.22776601683796,-216.22831477439388,False
3,0.2125,100.0,reflection,60.0,p,110.0,8.154403232357146e-11,1.0706275543838276e-09,3.27204455101673e-05,8.619641056883245e-07,3.362477326996947e-05,2.4769698423454927e-06,0.6168776982941728,0.43497566411152405,1.8813122368814157e-06,725.0,11.7,0.2125,100.0,724.9999278533681,1.160289310256027,0.7489676679965773,0.2124990835954519,99.99956488340514,0.0004351165948577318,0.0004351165948577318,9.164045481069305e-07,9.164045481069305e-07,7.21466318509556e-05,7.21466318509556e-05,8.809968894268613e-07,1003.0,0.2785956782112395,8.634203993221534e-07,89.68895892301157,local,0.06895139936651891,8.154403232357146e-11,0.9999999988173693,False,0.316,-0.10350091640454812,False,316.22776601683796,-216.22820113343283,False
4,0.25,100.0,reflection,60.0,p,110.0,9.697836227021763e-11,1.12852344400866e-09,3.3593503002941804e-05,8.854557993255774e-07,3.457467420933485e-05,3.3461983924300796e-06,0.6417953214116664,0.38422284265243206,5.075083932967923e-06,725.0,11.7,0.25,100.0,725.0000621950328,1.0697394965565112,0.6366297527141406,0.24999608078851304,99.99947703787947,0.0005229621205273816,0.0005229621205273816,3.919211486957952e-06,3.919211486957952e-06,-6.219503279680794e-05,6.219503279680794e-05,8.779235598424179e-07,1004.0,0.2776238060625175,8.786748478252469e-07,89.54166079330336,local,0.07583446029134862,9.697836227021763e-11,0.9999999987211835,False,0.316,-0.06600391921148696,False,316.22776601683796,-216.2282889789585,False
5,0.2875,100.0,reflection,60.0,p,110.0,1.055226613012567e-10,1.0981038889146116e-09,3.313765062454807e-05,8.764349943622321e-07,3.410285485855547e-05,2.898177204469941e-06,0.6901128508696734,0.35785145795811046,5.251194387747462e-07,725.0,11.7,0.2875,100.0,725.0000158317113,0.9975315285211821,0.5535827546235124,0.28749982141357616,99.9998406844436,0.00015931555640236184,0.00015931555640236184,1.7858642381574086e-07,1.7858642381574086e-07,-1.5831711266400816e-05,1.5831711266400816e-05,8.757803779698196e-07,1005.0,0.276946072446778,8.768071315411591e-07,89.58988174385625,local,0.08280881935072495,1.055226613012567e-10,0.9999999987257074,False,0.316,-0.02850017858642384,False,316.22776601683796,-216.22792533239436,False
6,0.32499999999999996,100.0,reflection,60.0,p,110.0,8.05114873946064e-11,1.0632353338340856e-09,3.2607289581228396e-05,8.674040129822935e-07,3.3523672927777734e-05,3.3505695987458284e-06,0.7222787055417804,0.35520996111239,8.499070548364356e-07,725.0,11.7,0.32499999999999996,100.0,725.0000406021768,0.9382204760761891,0.48970869166661923,0.32499922055752245,100.00013812267973,-0.00013812267972923564,0.00013812267972923564,7.794424775053876e-07,7.794424775053876e-07,-4.0602176795800915e-05,4.0602176795800915e-05,8.742673988548031e-07,1006.0,0.2764676264412062,8.66820684527261e-07,89.73954568029917,local,0.09000259752496734,8.05114873946064e-11,0.9999999991054538,False,0.316,0.008999220557522447,False,316.22776601683796,-216.22762789415822,False
7,0.36250000000000004,100.0,reflection,60.0,p,110.0,7.824901003945808e-11,1.0408464369503969e-09,3.226215177185795e-05,8.647448116435183e-07,3.317226326936177e-05,2.4181032304167036e-06,0.7438284854857034,0.3519314463518257,6.190866923158225e-07,725.0,11.7,0.36250000000000004,100.0,724.9999548415259,0.8883656656787098,0.439048748736296,0.3624994799552154,99.99985836673201,0.00014163326798666276,0.00014163326798666276,5.200447846243073e-07,5.200447846243073e-07,4.515847410857532e-05,4.515847410857532e-05,8.731891146694487e-07,1007.0,0.2761266430421403,8.657386826523237e-07,89.81616372681445,local,0.09751937709644112,7.824901003945808e-11,0.9999999991976056,False,0.316,0.04649947995521542,False,316.22776601683796,-216.22790765010595,False
8,0.4,100.0,reflection,60.0,p,110.0,9.038841144845274e-11,1.0415284438031596e-09,3.227271980796102e-05,8.727043975085458e-07,3.314751237771474e-05,3.168951216130176e-06,0.7583901619357738,0.3485043991344701,2.3571693500664223e-06,725.0,11.7,0.4,100.0,725.0000746291566,0.8457012275963406,0.39788658376106917,0.4000007780796848,100.00074252226474,-0.0007425222647441387,0.0007425222647441387,-7.780796847933757e-07,7.780796847933757e-07,-7.462915664291359e-05,7.462915664291359e-05,8.724158179233899e-07,1008.0,0.275882105139666,8.709081515887319e-07,89.84117395312279,local,0.10563070101777917,9.038841144845274e-11,0.9999999991442979,False,0.316,0.08400077807968481,False,316.22776601683796,-216.22702349457322,False
9,0.4375,100.0,reflection,60.0,p,110.0,7.902453642852312e-11,9.499839472239532e-10,3.082180960333045e-05,8.415287005577926e-07,3.1661628200865724e-05,2.744706699966395e-06,0.7682694085160304,0.3451260399085096,1.1431064931958908e-06,725.0,11.7,0.4375,100.0,725.0000392123254,0.8086433175495742,0.36378201654212405,0.43750085450819975,100.00031687694062,-0.00031687694061588445,0.00031687694061588445,-8.545081997546333e-07,8.545081997546333e-07,-3.9212325418702676e-05,3.9212325418702676e-05,8.718598495085153e-07,1009.0,0.2757062924898543,8.420568895791897e-07,90.21738288193852,local,0.114517273622607,7.902453642852312e-11,0.9999999993099334,False,0.316,0.12150085450819975,False,316.22776601683796,-216.22744913989735,False
